id,seq,name,effect_type_1,effect_type_2,min_attack,max_attack,min_magic,max_magic,min_defense,max_defense,min_speed,max_speed,accessory_group_id,rank,mode,detail,description_1,description_2,description_3,description_4
300001,1,そまつなうでわ,1,1,8,8,0,0,0,0,-5,0,0,0,,作りが大ざっぱなうでわ。\nこれぐらいが一番という妖怪もいる。,
300006,2,安っぽいうでわ,1,1,8,8,0,0,-5,0,0,0,0,0,,安っぽさが目立つうでわ。\nでも　この感じに味があるというウワサも。,
300002,3,ロックなうでわ,1,1,15,15,0,0,0,0,-8,0,0,0,,鉄のトゲトゲがついた　ロックなうでわ。\nこれで攻撃されたら痛そうだ。,
300007,4,パワフルなうでわ,1,1,15,15,0,0,-8,0,0,0,0,0,,力があふれてくる　パワフルなうでわ。\nあまりの力に　りんごも潰せる？,
300003,5,超力のうでわ,1,1,22,22,0,0,0,0,-12,0,0,0,,腕っぷしで解決したいときは\nこのうでわが　頼りになる。,
300008,6,豪気なうでわ,1,1,22,22,0,0,-12,0,0,0,0,0,,豪快なパワーが宿るうでわ。\nこれがあれば　引っ越しも楽々に。,
300004,7,太陽のうでわ,1,1,30,30,0,0,0,0,-15,0,0,0,,太陽の力が　こめられているという\nズシッと重い黄金のうでわ。,
300009,8,彗星のうでわ,1,1,30,30,0,0,-15,0,0,0,0,0,,彗星のごとく　すさまじい破壊力を\n与えてくれるうでわ。,
300005,9,鬼神のうでわ,1,1,40,40,0,0,0,0,-25,0,0,0,,鬼神のもんしょうが描かれたうでわ。\nとてつもない　ちからを秘めている。,
300010,10,伝説のうでわ,1,1,40,40,0,0,-25,0,0,0,0,0,,伝説として語り継がれ\n究極のちからが宿るうでわ。,
300011,11,神話のうでわ,1,1,65,65,0,0,0,0,-40,0,0,0,,神話に登場する　幻のうでわ。\n最上級の　ちからが宿る。,
300101,12,さびたゆびわ,1,1,0,0,8,8,-5,0,0,0,0,0,,古くなって　サビてしまったゆびわ。\nほどほどに　力が残っているみたいだ。,
300106,13,ダサいゆびわ,1,1,0,0,8,8,0,0,-5,0,0,0,,なんとも　ダサいゆびわだが\n多少のようりょくはあるようだ。,
300102,14,プリティーリング,1,1,0,0,15,15,-8,0,0,0,0,0,,かわいらしい　ピンクゴールドのゆびわ。\n女子妖怪に大人気で　効果もなかなか。,
300107,15,レインボーリング,1,1,0,0,15,15,0,0,-8,0,0,0,,まるで虹のように鮮やかなゆびわ。\n雨上がりは　ゆびわにも虹ができるとか。,
300103,16,げんえいのゆびわ,1,1,0,0,22,22,-12,0,0,0,0,0,,この指輪を身につけると\nようじゅつを簡単に使いこなせるように。,
300108,17,妖精のゆびわ,1,1,0,0,22,22,0,0,-12,0,0,0,,妖精がやどっているかのごとく\n見るものを魅了する力がこもっている。,
300104,18,月光のゆびわ,1,1,0,0,30,30,-15,0,0,0,0,0,,月の力がこめられているという\nやさしい光を放つゆびわ。,
