id,pref_id,rate,name,description
600001,1,1000,北海道スープカレー,ダミー
600002,1,1000,毛ガニ,ダミー
600003,1,1000,いかめし,ダミー
600004,1,1000,阿寒湖のまりも,ダミー
600005,2,1000,青森りんご,ダミー
600006,2,1000,八戸せんべい汁,ダミー
600007,2,1000,青森の長芋,ダミー
600008,2,1000,津軽塗,ダミー
600009,3,1000,岩手のわんこそば,ダミー
600010,3,1000,盛岡冷麺,ダミー
600011,3,1000,南部せんべい,ダミー
600012,3,1000,南部鉄器,ダミー
600013,4,1000,仙台笹かまぼこ,ダミー
600014,4,1000,ずんだ餅,ダミー
600015,4,1000,牛タン串,ダミー
600016,4,1000,玉虫塗,ダミー
600017,5,1000,秋田きりたんぽ,ダミー
600018,5,1000,横手焼きそば,ダミー
600019,5,1000,稲庭うどん,ダミー
600020,5,1000,樺細工,ダミー
600021,6,1000,山形のさくらんぼ,ダミー
600022,6,1000,芋煮,ダミー
600023,6,1000,パインサイダー,ダミー
600024,6,1000,天童将棋駒,ダミー
600025,7,1000,会津みしらずカキ,ダミー
600026,7,1000,川俣シャモ,ダミー
600027,7,1000,いか人参,ダミー
600028,7,1000,赤べこ,ダミー
600029,8,1000,水戸なっとう,ダミー
600030,8,1000,干し芋,ダミー
600031,8,1000,レンコン,ダミー
600032,8,1000,真壁石灯篭,ダミー
600033,9,1000,宇都宮のぎょうざ,ダミー
600034,9,1000,佐野ラーメン,ダミー
600035,9,1000,いちご,ダミー
600036,9,1000,鹿沼組子,ダミー
600037,10,1000,上州焼きまんじゅう,ダミー
600038,10,1000,下仁田ネギ,ダミー
600039,10,1000,こんにゃく,ダミー
600040,10,1000,高崎だるま,ダミー
600041,11,1000,草加せんべい,ダミー
600042,11,1000,五家宝,ダミー
600043,11,1000,北本トマトカレー,ダミー
600044,11,1000,小川和紙,ダミー
600045,12,1000,千葉の落花生,ダミー
600046,12,1000,イワシの団子汁,ダミー
600047,12,1000,さんが焼き,ダミー
600048,12,1000,房州うちわ,ダミー
600049,13,1000,江戸前すし,ダミー
600050,13,1000,月島もんじゃ,ダミー
600051,13,1000,深川丼,ダミー
600052,13,1000,江戸切子,ダミー
600053,14,1000,横浜のシュウマイ,ダミー
600054,14,1000,生しらす丼,ダミー
600055,14,1000,よこすか海軍カレー,ダミー
600056,14,1000,箱根寄木細工,ダミー
600057,15,1000,魚沼産のごはん,ダミー
600058,15,1000,笹団子,ダミー
600059,15,1000,ぽっぽ焼き,ダミー
600060,15,1000,村上木彫堆朱,ダミー
600061,16,1000,富山ますずし,ダミー
600062,16,1000,白エビ,ダミー
600063,16,1000,富山ブラックラーメン,ダミー
600064,16,1000,高岡銅器,ダミー
600065,17,1000,加賀の太きゅうり,ダミー
600066,17,1000,ばい貝,ダミー
600067,17,1000,かぶら寿し,ダミー
600068,17,1000,加賀友禅,ダミー
600069,18,1000,えちぜんがに,ダミー
600070,18,1000,羽二重餅,ダミー
600071,18,1000,ボルガライス,ダミー
