id,sub_id,monster_id,monster_rank,series
1,1,149000,0,0
1,2,150000,0,0
1,3,150010,0,0
2,1,152000,0,0
2,2,152900,0,0
2,3,153000,0,0
2,4,154000,0,0
2,5,155000,0,0
2,6,155010,0,0
2,7,156010,0,0
2,8,156020,0,0
2,9,156030,0,0
2,10,156040,0,0
2,11,156000,0,0
2,12,222000,0,0
2,13,236000,0,0
2,14,275000,0,0
2,15,300000,0,0
2,16,342000,0,0
2,17,343000,0,0
2,18,345000,0,0
2,19,346000,0,0
2,20,347000,0,0
2,21,349000,0,0
2,22,377000,0,0
2,23,377010,0,0
2,24,377020,0,0
2,25,377030,0,0
2,26,377040,0,0
2,27,377050,0,0
2,28,451000,0,0
2,29,452000,0,0
2,30,453000,0,0
2,31,454000,0,0
2,32,455000,0,0
2,33,457000,0,0
2,34,458000,0,0
2,35,459000,0,0
2,36,475000,0,0
2,37,476000,0,0
2,38,480000,0,0
2,39,561000,0,0
2,40,591000,0,0
2,41,668000,0,0
2,42,671000,0,0
2,43,679000,0,0
2,44,681000,0,0
2,45,695000,0,0
2,46,703000,0,0
2,47,707000,0,0
2,48,900000,0,0
3,1,166000,0,0
3,2,166010,0,0
4,1,174000,0,0
4,2,174010,0,0
4,3,174020,0,0
4,4,283000,0,0
4,5,481000,0,0
5,1,190000,0,0
5,2,190020,0,0
6,1,155000,0,0
6,2,155010,0,0
6,3,371000,0,0
6,4,372000,0,0
6,5,373000,0,0
6,6,374000,0,0
6,7,375000,0,0
6,8,376000,0,0
6,9,345000,0,0
6,10,479000,0,0
6,11,548000,0,0
6,12,681000,0,0
7,1,238000,0,0
7,2,477000,0,0
8,1,152000,0,0
8,2,152900,0,0
8,3,455000,0,0
8,4,459000,0,0
8,5,591000,0,0
8,6,668000,0,0
8,7,703000,0,0
9,1,0,2,0
10,1,0,4,0
11,1,548000,0,0
12,1,0,0,3
12,2,0,0,4
12,3,0,0,5
13,1,0,0,2
13,2,0,0,13
14,1,0,0,10
15,1,0,0,7
16,1,471000,0,0
16,2,597000,0,0
16,3,597010,0,0
16,4,597020,0,0
16,5,597030,0,0
16,6,597040,0,0
16,7,667000,0,0
16,8,704000,0,0
17,1,562000,0,0
18,1,159000,0,0
18,2,159900,0,0
18,3,160000,0,0
18,4,456000,0,0
18,5,159010,0,0
18,6,159910,0,0
18,7,160020,0,0
18,8,348000,0,0
18,9,372000,0,0
18,10,569000,0,0
18,11,669000,0,0
18,12,705000,0,0
18,13,706000,0,0
19,1,1000,0,0
19,2,1800,0,0
19,3,708000,0,0
20,1,474000,0,0
21,1,671000,0,0
21,2,672000,0,0
21,3,673000,0,0
21,4,677000,0,0
22,1,0,0,0
23,1,0,0,0
24,1,0,0,0
