area_code,pref,addr_1,addr_2
1,01101,01,さっぽろし
1,01102,01,さっぽろし
1,01103,01,さっぽろし
1,01104,01,さっぽろし
1,01105,01,さっぽろし
1,01106,01,さっぽろし
1,01107,01,さっぽろし
1,01108,01,さっぽろし
1,01109,01,さっぽろし
1,01110,01,さっぽろし
1,01202,01,""
1,01203,01,""
1,01204,01,""
1,01205,01,""
1,01206,01,""
1,01207,01,""
1,01208,01,""
1,01209,01,""
1,01210,01,""
1,01211,01,""
1,01212,01,""
1,01213,01,""
1,01214,01,""
1,01215,01,""
1,01216,01,""
1,01217,01,""
1,01218,01,""
1,01219,01,""
1,01220,01,""
1,01221,01,""
1,01222,01,""
1,01223,01,""
1,01224,01,""
1,01225,01,""
1,01226,01,""
1,01227,01,""
1,01228,01,""
1,01229,01,""
1,01230,01,""
1,01231,01,""
1,01233,01,""
1,01234,01,""
1,01235,01,""
1,01236,01,""
1,01303,01,いしかりぐん
1,01304,01,いしかりぐん
1,01331,01,まつまえぐん
1,01332,01,まつまえぐん
1,01333,01,かみいそぐん
1,01334,01,かみいそぐん
1,01337,01,かめだぐん
1,01343,01,かやべぐん
1,01345,01,かやべぐん
1,01346,01,ふたみぐん
1,01347,01,やまこしぐん
1,01361,01,ひやまぐん
1,01362,01,ひやまぐん
1,01363,01,ひやまぐん
1,01364,01,にしぐん
1,01367,01,おくしりぐん
1,01370,01,せたなぐん
1,01371,01,くどおぐん
1,01391,01,しままきぐん
1,01392,01,すっつぐん
1,01393,01,すっつぐん
1,01394,01,いそやぐん
1,01395,01,あぶたぐん
1,01396,01,あぶたぐん
1,01397,01,あぶたぐん
1,01398,01,あぶたぐん
1,01399,01,あぶたぐん
1,01400,01,あぶたぐん
1,01401,01,いわないぐん
1,01402,01,いわないぐん
1,01403,01,ふるうぐん
1,01404,01,ふるうぐん
1,01405,01,しゃこたんぐん
1,01406,01,ふるびらぐん
1,01407,01,よいちぐん
1,01408,01,よいちぐん
1,01409,01,よいちぐん
1,01423,01,そらちぐん
1,01424,01,そらちぐん
1,01425,01,そらちぐん
1,01427,01,ゆうばりぐん
1,01428,01,ゆうばりぐん
1,01429,01,ゆうばりぐん
1,01430,01,かばとぐん
1,01431,01,かばとぐん
1,01432,01,かばとぐん
1,01433,01,うりゅうぐん
1,01434,01,うりゅうぐん
1,01436,01,うりゅうぐん
1,01437,01,うりゅうぐん
1,01438,01,うりゅうぐん
1,01452,01,かみかわぐん
1,01453,01,かみかわぐん
1,01454,01,かみかわぐん
1,01455,01,かみかわぐん
1,01456,01,かみかわぐん
1,01457,01,かみかわぐん
1,01458,01,かみかわぐん
1,01459,01,かみかわぐん
1,01460,01,そらちぐん
1,01461,01,そらちぐん
1,01462,01,そらちぐん
1,01463,01,ゆうふつぐん
1,01464,01,かみかわぐん
1,01465,01,かみかわぐん
1,01468,01,かみかわぐん
1,01469,01,なかがわぐん
1,01470,01,なかがわぐん
1,01471,01,なかがわぐん
1,01472,01,うりゅうぐん
1,01481,01,ましけおぐん
1,01482,01,るもいぐん
1,01483,01,とままえぐん
1,01484,01,とままえぐん
1,01485,01,とままえぐん
1,01486,01,てしおぐん
1,01487,01,てしおぐん
1,01511,01,そうやぐん
1,01512,01,えさしぐん
1,01513,01,えさしぐん
1,01514,01,えさしぐん
1,01516,01,てしおぐん
1,01517,01,れぶんぐん
1,01518,01,りしりぐん
1,01519,01,りしりぐん
1,01520,01,てしおぐん
1,01543,01,あばしりぐん
1,01544,01,あばしりぐん
1,01545,01,しゃりぐん
1,01546,01,しゃりぐん
1,01547,01,しゃりぐん
1,01549,01,ところぐん
1,01550,01,ところぐん
1,01552,01,ところぐん
1,01555,01,もんべつぐん
1,01559,01,もんべつぐん
1,01560,01,もんべつぐん
1,01561,01,もんべつぐん
1,01562,01,もんべつぐん
1,01563,01,もんべつぐん
1,01564,01,あばしりぐん
1,01571,01,あぶたぐん
1,01575,01,うすぐん
1,01578,01,しらおいぐん
1,01581,01,ゆうふつぐん
1,01584,01,あぶたぐん
1,01585,01,ゆうふつぐん
1,01586,01,ゆうふつぐん
1,01601,01,さるぐん
1,01602,01,さるぐん
1,01604,01,にいかっぷぐん
1,01607,01,うらかわぐん
1,01608,01,さまにぐん
1,01609,01,ほろいずみぐん
1,01610,01,ひだかぐん
1,01631,01,かとうぐん
