id,place_id,monster_id,weight
1,1,101000,10000
2,1,102000,10000
3,1,103000,10000
4,1,104000,10000
5,1,105000,10000
6,1,106000,10000
7,1,107000,10000
8,1,108000,10000
9,1,109000,10000
10,1,110000,10000
11,1,111000,10000
12,1,112000,10000
13,1,113000,10000
14,1,114000,10000
15,1,115000,10000
16,1,116000,10000
17,1,117000,10000
18,1,118000,10000
19,1,119000,10000
20,1,120000,10000
21,1,121000,10000
22,1,122000,10000
23,1,123000,10000
24,1,124000,10000
25,1,125000,10000
26,1,126000,10000
27,1,127000,10000
28,1,128000,10000
29,1,129000,10000
30,1,130000,10000
31,1,131000,10000
32,1,132000,10000
33,1,133000,10000
34,1,134000,10000
35,1,135000,10000
36,1,136000,10000
37,1,137000,10000
38,1,138000,10000
39,1,139000,10000
40,1,140000,10000
41,1,141000,10000
42,1,142000,10000
43,1,143000,10000
44,1,144000,10000
45,1,145000,10000
46,1,146000,10000
47,1,147000,10000
48,1,148000,10000
49,1,149000,10000
50,1,150000,10000
51,1,151000,10000
52,1,152000,10000
53,1,153000,10000
54,1,154000,10000
55,1,155000,10000
56,1,156000,10000
57,1,157000,10000
58,1,158000,10000
59,1,159000,10000
60,1,160000,10000
61,1,161000,10000
62,1,162000,10000
63,1,163000,10000
64,1,164000,10000
65,1,165000,10000
66,1,166000,10000
67,1,167000,10000
68,1,168000,10000
69,1,169000,10000
70,1,170000,10000
71,1,171000,10000
72,1,172000,10000
73,1,173000,10000
74,1,174000,10000
75,1,175000,10000
76,1,176000,10000
77,1,177000,10000
78,1,178000,10000
79,1,179000,10000
80,1,180000,10000
81,1,181000,10000
82,1,182000,10000
83,1,183000,10000
84,1,184000,10000
85,1,185000,10000
86,1,186000,10000
87,1,187000,10000
88,1,188000,10000
89,1,189000,10000
90,1,190000,10000
91,1,191000,10000
92,1,192000,10000
93,1,193000,10000
94,1,194000,10000
95,1,195000,10000
96,1,196000,10000
97,1,197000,10000
98,1,198000,10000
99,1,199000,10000
100,1,200000,10000
101,1,201000,10000
102,1,203000,10000
103,1,204000,10000
104,1,205000,10000
105,1,206000,10000
106,1,207000,10000
107,1,208000,10000
108,1,209000,10000
109,1,210000,10000
110,1,211000,10000
111,1,212000,10000
112,1,213000,10000
113,1,214000,10000
114,1,215000,10000
115,1,216000,10000
116,1,217000,10000
117,1,218000,10000
118,1,219000,10000
119,1,220000,10000
120,1,221000,10000
121,1,222000,10000
122,1,223000,10000
123,1,224000,10000
124,1,225000,10000
125,1,226000,10000
