id,battle_league_id,league_rank,user_name,user_name_suffix_id,user_image_id
1,1,1,ビギナー,2,5
2,1,1,ビギナー,2,5
3,1,1,ビギナー,2,5
4,1,1,ビギナー,2,5
5,1,1,ビギナー,2,5
6,1,1,ビギナー,2,5
7,1,1,ビギナー,2,5
8,1,1,ビギナー,2,5
9,1,1,ビギナー,2,5
10,1,2,レギュラー,3,7
11,1,2,レギュラー,3,7
12,1,2,レギュラー,3,7
13,1,2,レギュラー,3,7
14,1,2,レギュラー,3,7
15,1,2,レギュラー,3,7
16,1,2,レギュラー,3,7
17,1,2,レギュラー,3,7
18,1,2,レギュラー,3,7
19,1,3,ブロンズ,4,3
20,1,3,ブロンズ,4,3
21,1,3,ブロンズ,4,3
22,1,3,ブロンズ,4,3
23,1,3,ブロンズ,4,3
24,1,3,ブロンズ,4,3
25,1,3,ブロンズ,4,3
26,1,3,ブロンズ,4,3
27,1,3,ブロンズ,4,3
28,1,4,シルバー,5,9
29,1,4,シルバー,5,9
30,1,4,シルバー,5,9
31,1,4,シルバー,5,9
32,1,4,シルバー,5,9
33,1,4,シルバー,5,9
34,1,4,シルバー,5,9
35,1,4,シルバー,5,9
36,1,4,シルバー,5,9
37,1,5,ゴールド,6,13
38,1,5,ゴールド,6,13
39,1,5,ゴールド,6,13
40,1,5,ゴールド,6,13
41,1,5,ゴールド,6,13
42,1,5,ゴールド,6,13
43,1,5,ゴールド,6,13
44,1,5,ゴールド,6,13
45,1,5,ゴールド,6,13
46,1,6,プラチナ,9,14
47,1,6,プラチナ,9,14
48,1,6,プラチナ,9,14
49,1,6,プラチナ,9,14
50,1,6,プラチナ,9,14
51,1,6,プラチナ,9,14
52,1,6,プラチナ,9,14
53,1,6,プラチナ,9,14
54,1,6,プラチナ,9,14
55,1,7,ダイヤモンド,4,11
56,1,7,ダイヤモンド,4,11
57,1,7,ダイヤモンド,4,11
58,1,7,ダイヤモンド,4,11
59,1,7,ダイヤモンド,4,11
60,1,7,ダイヤモンド,4,11
61,1,7,ダイヤモンド,4,11
62,1,7,ダイヤモンド,4,11
63,1,7,ダイヤモンド,4,11
