id,name,description,power,count
1000,ゲロを吐く,ゲロまみれになり　まもりが大ダウン,0,0
1800,ゲロを吐く,ゲロまみれになり　まもりが大ダウン,0,0
101000,ぶようじんにする,ぶようじんになって　まもりがダウン,0,0
102000,がらあきにする,がらあきになって　まもりがダウン,0,0
102010,特攻精神,特攻精神で　すばやさがアップ,0,0
103000,ため息をつかせる,ため息まじりで　ちからが大ダウン,0,0
104000,ため息をつかせる,ため息まじりで　ちからが大ダウン,0,0
104010,やる気をなくす,やる気がなくなり　全ステータスがダウン,0,0
105000,とりもち,モチにひっつき　たまに行動しなくなる,0,0
105010,焼きもちをやかせる,焼きもちをやいて　味方をたまにこうげきする,0,0
106000,ふまじめにする,だらけて　たまに行動しなくなる,0,0
107000,だらだらさせる,だらだらして　ちからがダウン,0,0
107010,だらだらさせる,すごくだらだらして　ちからがダウン,0,0
108000,バクチ精神,バクチ精神で　まもりがダウン　,0,0
109000,名刀パワー,名刀パワーで　ちからがアップ,0,0
109010,神剣パワー,神剣パワーで　ちからがアップ,0,0
110000,妖刀の呪い,妖刀の呪いで　すばやさがダウン,0,0
111000,カブトの守り,カブトの守りで　まもりがアップ,0,0
112000,ゲンマの呪い,ゲンマの呪いで　ようりょくがダウン,0,0
112010,黄泉の呪い,黄泉の呪いで　ようりょくがダウン,0,0
113000,メラメラさせる,熱い心で　ちからがアップ,0,0
113010,グラグラさせる,心がふるえて　まもりがアップ,0,0
113020,轟かせる,轟くオーラで　すばやさがアップ,0,0
114000,くわがたパワー,くわがたパワーで　ちからがアップ,0,0
115000,大将パワー,大将パワーで　ちからがアップ,0,0
115010,神の力,戦いの神の力で　ちからがアップ,0,0
116000,不器用にさせる,不器用になって　ようりょくがダウン,0,0
116010,からくりパワー,からくりボディーで　まもりがアップ,0,0
117000,むしゃくしゃさせる,むしゃくしゃして　味方をたまにこうげきする,0,0
117010,びびらせる,びびって　たまに行動しなくなる,0,0
118000,ズルズルにする,鼻水がかんで　たまに行動しなくなる,0,0
118010,かぜをひかせる,かぜをひいて　ちからがダウン,0,0
119000,弱点をさとる,弱点をさとられて　まもりがダウン,0,0
119010,不思議なちから,不思議なパワーで　ようりょくが大ダウン,0,0
120000,記憶を食べる,だれが味方か忘れて　味方をすぐにこうげきする,0,0
120010,楽しくさせる,楽しくなって　ようりょくが超アップ,0,0
121000,笑わせる,笑いすぎて　たまに行動しなくなる,0,0
121010,ふるえさせる,体がふるえて　ようりょくが大ダウン,0,0
122000,武士道精神,武士道パワーで　ちからがアップ,0,0
122010,かぶかせる,かぶきパワーで　ちからがアップ,0,0
123000,モテモテにする,モテモテになって　ようりょくがアップ,0,0
124000,モテモテにする,モテモテになって　ようりょくがアップ,0,0
124010,モテなくする,モテなくなって　ようりょくがダウン,0,0
125000,バクロする,弱点をバクロして　まもりがダウン,0,0
125010,ドクロする,ドクロの呪いで　まもりがダウン,0,0
126000,バクロする,弱点をバクロして　まもりがダウン,0,0
127000,ねむらせる,ねむくなって　たまに行動しなくなる,0,0
127010,いい夢みさせる,夢の力で　ＨＰが少しずつ回復,0,0
128000,しびれさせる,ビリビリしびれて　たまに行動しなくなる,0,0
129000,しびれさせる,バチバチしびれて　たまに行動しなくなる,0,0
129010,感電させる,感電して　ＨＰが少しずつ減っていく,0,0
130000,鏡の力,鏡の力で　ようりょくがアップ,0,0
130010,闇の鏡の呪い,闇の鏡の呪い　ようりょくがダウン,0,0
131000,幻の力,幻の力で　ようりょくがアップ,0,0
131010,かげろうの力,かげろうの力で　すばやさがアップ,0,0
131020,ほうろうの呪い,ほうろうの呪いで　まもりがダウン,0,0
132000,かじかませる,寒さでかじかんで　ちからがダウン,0,0
133000,かじかませる,寒さでかじかんで　ちからがダウン,0,0
133010,闇の呪い,闇の呪いで　ようりょくがダウン,0,0
133800,冷たくする,態度が冷たくなり　たまに味方をこうげきする,0,0
134000,やけどさせる,やけどして　ＨＰが少しずつ減っていく,0,0
134010,犬神の加護,犬神の加護で　ようりょくがアップ,0,0
134020,漆黒の闇,漆黒の闇で　ＨＰがだんだん減っていく,0,0
135000,だるくさせる,だるくなって　たまに行動しなくなる,0,0
136000,マッチョにする,マッチョになって　ちからがアップ,0,0
136010,筋肉バカにする,筋肉バカになって　味方をたまにこうげきする,0,0
137000,のどをイガイガにする,のどがイガイガして　ＨＰが少しずつ減っていく,0,0
137010,頭痛にする,頭痛がして　ＨＰが少しずつ減っていく,0,0
138000,ファッション命にする,ファッション重視になり　まもりがダウン,0,0
139000,気どらせる,気どって　たまに行動しなくなる,0,0
139010,気どらせる,気どって　たまに行動しなくなる,0,0
140000,きょひさせる,なんでもムリと言って　たまに行動しなくなる,0,0
141000,きょひさせる,なんでもムリと言って　たまに行動しなくなる,0,0
141010,お城の力,お城の力で　まもりがアップ,0,0
142000,とおせんぼうする,とおせんぼうされて　たまに行動しなくなる,0,0
142010,太い針を刺す,太い針が刺さって　ＨＰが少しずつ減っていく,0,0
143000,ヨロイの守り,ヨロイの守りで　まもりがアップ,0,0
144000,ねばり強くする,どひょうぎわのねばりで　まもりが大アップ,0,0
144010,火山のめぐみ,火山のめぐみで　ＨＰがだんだん回復,0,0
145000,かぶとパワー,かぶとパワーで　ちからがアップ,0,0
