monster_id,rank,rate_type
115010,6,0
134010,6,0
148010,6,0
129010,6,0
173010,6,1
209010,6,0
196010,6,0
221010,6,1
242000,6,0
253000,6,0
536010,6,0
553000,6,0
274010,6,0
570000,6,0
290000,6,1
589010,6,1
302000,6,0
609000,6,0
313010,6,0
628000,6,0
327010,6,0
214010,6,0
124010,5,0
148000,5,0
156020,5,1
180000,5,1
170010,5,0
220010,5,0
238000,5,0
516000,5,0
249000,5,0
531000,5,0
345000,5,0
551000,5,0
587000,5,1
567000,5,0
178010,5,0
692000,5,1
262000,5,0
608000,5,0
311000,5,0
625000,5,0
586000,5,0
113010,4,0
344000,4,1
136010,4,0
314000,4,1
206010,4,0
195010,4,0
217010,4,0
236000,4,0
639000,4,0
530000,4,0
585000,4,1
691000,4,0
273000,4,0
529000,4,0
685000,4,0
300000,4,0
606000,4,0
308000,4,0
624000,4,0
323000,4,0
376000,4,0
108000,3,0
121010,3,0
164010,3,0
127010,3,0
177000,3,1
151010,3,0
171010,3,0
237000,3,0
509000,3,0
247000,3,0
525000,3,0
256000,3,0
543000,3,0
271000,3,0
563000,3,0
282000,3,0
511000,3,0
297000,3,0
688000,3,0
306000,3,0
619000,3,0
322000,3,1
640000,3,0
105010,2,0
127000,2,0
142000,2,0
159010,2,0
172010,2,0
207010,2,0
137010,2,0
215000,2,0
235000,2,0
506000,2,0
353000,2,0
507000,2,0
246000,2,0
540000,2,0
268000,2,0
561000,2,0
205000,2,0
584000,2,0
598000,2,0
304000,2,1
618000,2,0
320000,2,0
636000,2,0
321000,2,0
106000,1,0
118000,1,0
140000,1,0
138000,1,0
202000,1,0
182000,1,0
137000,1,0
502000,1,0
291000,1,0
522000,1,0
255000,1,0
539000,1,0
556000,1,0
558000,1,0
277000,1,0
573000,1,0
292000,1,0
592000,1,0
317000,1,0
612000,1,0
315000,1,0
631000,1,0
211000,1,2
211010,5,2
161000,3,2
484000,3,2
