id,pref_id,item_type,item_id,rank,amount,weight
1,1,1,100001,1,1,1000
2,1,1,100101,1,1,1000
3,1,1,100201,1,1,1000
4,1,1,100301,1,1,1000
5,1,1,100401,1,1,1000
6,1,1,100501,1,1,1000
7,1,1,100701,1,1,1000
8,1,1,100901,1,1,1000
9,1,2,200103,3,1,1000
10,1,2,200103,3,1,1000
11,1,2,200103,3,1,1000
12,1,2,200103,3,1,1000
13,1,2,200103,3,1,1000
14,1,2,200103,3,1,1000
15,1,2,200103,3,1,1000
16,1,2,200103,3,1,1000
17,1,2,200103,3,1,1000
18,1,2,200103,3,1,500
19,1,2,200103,3,1,500
20,1,2,200103,3,1,500
21,1,2,200103,3,1,500
22,1,2,200103,3,1,500
23,1,2,200103,3,1,500
24,1,2,200103,3,1,500
25,1,2,200103,3,1,500
26,1,2,200103,3,1,500
27,1,2,200103,3,1,500
28,1,2,200103,3,1,500
29,1,2,200103,3,1,500
30,1,2,200103,3,1,500
31,1,2,200505,3,1,500
32,1,2,200505,3,1,500
33,1,2,200505,3,1,500
34,1,2,200505,3,1,500
35,1,2,200505,3,1,500
36,1,2,200505,3,1,500
37,1,2,200505,3,1,500
38,1,2,200505,3,1,500
39,1,2,200505,3,1,500
40,1,2,200505,3,1,500
41,1,2,200505,3,1,500
42,1,2,200505,3,1,500
43,1,2,200505,3,1,500
44,1,2,200505,3,1,500
45,1,2,200505,3,1,500
46,1,2,200505,3,1,500
47,1,2,200505,3,1,500
48,1,2,200505,3,1,500
49,1,1,101902,2,1,500
50,1,2,200505,3,1,500
51,1,2,200505,3,1,500
52,1,2,200505,3,1,500
53,1,2,200505,3,1,500
54,2,1,100001,1,1,1000
55,2,1,100101,1,1,1000
56,2,1,100201,1,1,1000
57,2,1,100301,1,1,1000
58,2,1,100401,1,1,1000
59,2,1,100501,1,1,1000
60,2,1,100701,1,1,1000
61,2,1,100901,1,1,1000
62,2,2,200103,3,1,1000
63,2,2,200103,3,1,1000
64,2,2,200103,3,1,1000
65,2,2,200103,3,1,1000
66,2,2,200103,3,1,1000
67,2,2,200103,3,1,1000
68,2,2,200103,3,1,1000
69,2,2,200103,3,1,1000
70,2,2,200103,3,1,1000
71,2,2,200103,3,1,500
72,2,2,200103,3,1,500
73,2,2,200103,3,1,500
74,2,2,200103,3,1,500
75,2,2,200103,3,1,500
76,2,2,200103,3,1,500
77,2,2,200103,3,1,500
78,2,2,200103,3,1,500
79,2,2,200103,3,1,500
80,2,2,200103,3,1,500
81,2,2,200103,3,1,500
82,2,2,200103,3,1,500
83,2,2,200103,3,1,500
84,2,2,200505,3,1,500
85,2,2,200505,3,1,500
86,2,2,200505,3,1,500
87,2,2,200505,3,1,500
88,2,2,200505,3,1,500
89,2,2,200505,3,1,500
90,2,2,200505,3,1,500
91,2,2,200505,3,1,500
92,2,2,200505,3,1,500
93,2,2,200505,3,1,500
94,2,2,200505,3,1,500
95,2,2,200505,3,1,500
96,2,2,200505,3,1,500
97,2,2,200505,3,1,500
98,2,2,200505,3,1,500
99,2,2,200505,3,1,500
100,2,2,200505,3,1,500
101,2,2,200505,3,1,500
102,2,1,101902,2,1,500
103,2,2,200505,3,1,500
104,2,2,200505,3,1,500
105,2,2,200505,3,1,500
106,2,2,200505,3,1,500
107,3,1,100001,1,1,1000
108,3,1,100101,1,1,1000
109,3,1,100201,1,1,1000
110,3,1,100301,1,1,1000
111,3,1,100401,1,1,1000
112,3,1,100501,1,1,1000
113,3,1,100701,1,1,1000
114,3,1,100901,1,1,1000
115,3,2,200103,3,1,1000
