id,monster_id,rare_item_type1,rare_item_id1,rare_item_rate1,rare_item_type2,rare_item_id2,rare_item_rate2,rare_item_type3,rare_item_id3,rare_item_rate3,rare_item_type4,rare_item_id4,rare_item_rate4,item_type1,item_id1,item_rate1,item_type2,item_id2,item_rate2,item_type3,item_id3,item_rate3,item_type4,item_id4,item_rate4
1,1000,1,102002,1000,0,0,0,0,0,0,0,0,0,1,102001,2000,0,0,0,0,0,0,0,0,0
2,1800,1,102002,1000,0,0,0,0,0,0,0,0,0,1,102001,2000,0,0,0,0,0,0,0,0,0
3,101000,1,100002,1000,0,0,0,0,0,0,0,0,0,1,100001,2000,0,0,0,0,0,0,0,0,0
4,102000,1,100002,1000,0,0,0,0,0,0,0,0,0,1,100001,2000,0,0,0,0,0,0,0,0,0
5,102010,1,100002,1000,0,0,0,0,0,0,0,0,0,1,100001,2000,0,0,0,0,0,0,0,0,0
6,103000,1,100502,1000,0,0,0,0,0,0,0,0,0,1,100501,2000,0,0,0,0,0,0,0,0,0
7,104000,1,100502,1000,0,0,0,0,0,0,0,0,0,1,100501,2000,0,0,0,0,0,0,0,0,0
8,104010,1,100502,1000,0,0,0,0,0,0,0,0,0,1,100501,2000,0,0,0,0,0,0,0,0,0
9,105000,1,100002,1000,0,0,0,0,0,0,0,0,0,1,100001,2000,0,0,0,0,0,0,0,0,0
10,105010,1,100002,1000,0,0,0,0,0,0,0,0,0,1,100001,2000,0,0,0,0,0,0,0,0,0
11,106000,1,100405,1000,0,0,0,0,0,0,0,0,0,1,100402,2000,0,0,0,0,0,0,0,0,0
12,107000,1,100405,1000,0,0,0,0,0,0,0,0,0,1,100402,2000,0,0,0,0,0,0,0,0,0
13,107010,1,100405,1000,0,0,0,0,0,0,0,0,0,1,100402,2000,0,0,0,0,0,0,0,0,0
14,108000,1,101305,1000,0,0,0,0,0,0,0,0,0,1,101302,2000,0,0,0,0,0,0,0,0,0
15,109000,1,101303,1000,0,0,0,0,0,0,0,0,0,1,101306,2000,0,0,0,0,0,0,0,0,0
16,109010,1,101306,1000,0,0,0,0,0,0,0,0,0,1,101305,2000,0,0,0,0,0,0,0,0,0
17,110000,1,101303,1000,0,0,0,0,0,0,0,0,0,1,101306,2000,0,0,0,0,0,0,0,0,0
18,111000,1,101102,1000,0,0,0,0,0,0,0,0,0,1,101101,2000,0,0,0,0,0,0,0,0,0
19,112000,1,101105,1000,0,0,0,0,0,0,0,0,0,1,101102,2000,0,0,0,0,0,0,0,0,0
20,112010,1,101103,1000,0,0,0,0,0,0,0,0,0,1,101102,2000,0,0,0,0,0,0,0,0,0
21,113000,1,101202,1000,0,0,0,0,0,0,0,0,0,1,101201,2000,0,0,0,0,0,0,0,0,0
22,113010,1,101202,1000,0,0,0,0,0,0,0,0,0,1,101201,2000,0,0,0,0,0,0,0,0,0
23,113020,1,101203,1000,0,0,0,0,0,0,0,0,0,1,101202,2000,0,0,0,0,0,0,0,0,0
24,114000,1,101102,1000,0,0,0,0,0,0,0,0,0,1,101101,2000,0,0,0,0,0,0,0,0,0
25,115000,1,101103,1000,0,0,0,0,0,0,0,0,0,1,101102,2000,0,0,0,0,0,0,0,0,0
26,115010,1,101103,1000,0,0,0,0,0,0,0,0,0,1,101102,2000,0,0,0,0,0,0,0,0,0
27,116000,1,100902,1000,0,0,0,0,0,0,0,0,0,1,100901,2000,0,0,0,0,0,0,0,0,0
28,116010,1,100902,1000,0,0,0,0,0,0,0,0,0,1,100901,2000,0,0,0,0,0,0,0,0,0
29,117000,1,101203,1000,0,0,0,0,0,0,0,0,0,1,101202,2000,0,0,0,0,0,0,0,0,0
30,117010,1,101203,1000,0,0,0,0,0,0,0,0,0,1,101202,2000,0,0,0,0,0,0,0,0,0
31,118000,1,101302,1000,0,0,0,0,0,0,0,0,0,1,101301,2000,0,0,0,0,0,0,0,0,0
32,118010,1,101302,1000,0,0,0,0,0,0,0,0,0,1,101301,2000,0,0,0,0,0,0,0,0,0
