id,pref_id,monster_id,rate
1,1,101000,1000
2,2,102000,1000
3,3,103000,1000
4,4,104000,1000
5,5,105000,1000
6,6,106000,1000
7,7,107000,1000
8,8,108000,1000
9,9,109000,1000
10,10,110000,1000
11,11,111000,1000
12,12,112000,1000
13,13,113000,1000
14,14,114000,1000
15,15,115000,1000
16,16,116000,1000
17,17,117000,1000
18,18,118000,1000
19,19,119000,1000
20,20,120000,1000
21,21,121000,1000
22,22,122000,1000
23,23,123000,1000
24,24,124000,1000
25,25,125000,1000
26,26,126000,1000
27,27,127000,1000
28,28,128000,1000
29,29,129000,1000
30,30,130000,1000
31,31,131000,1000
32,32,132000,1000
33,33,133000,1000
34,34,134000,1000
35,35,135000,1000
36,36,136000,1000
37,37,137000,1000
38,38,138000,1000
39,39,139000,1000
40,40,140000,1000
41,41,141000,1000
42,42,142000,1000
43,43,143000,1000
44,44,144000,1000
45,45,145000,1000
46,46,146000,1000
47,47,147000,1000
